# 1st <= 10000 < 2nd
# 1st= 10000  2nd= 10000
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd    Frac1    Frac2   First1   First2     Rep1     Rep2
0            6541   0.3271  1      black        0     6541   0.0000   0.6541       -1     2016       -1    15333
1            1921   0.0960  2        red     1328      593   0.1328   0.0593     3610        1     7509    10172
2            1425   0.0712  3      green      184     1241   0.0184   0.1241     4183      393     5996    11038
3            1057   0.0529  4       blue     1057        0   0.1057   0.0000     6983       -1     8036       -1
