# 1st <= 5000 < 2nd
# 1st= 5000  2nd= 20000
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd    Frac1    Frac2   First1   First2     Rep1     Rep2
0            5670   0.2268  1      black        0     5670   0.0000   0.2835       -1     3782       -1    10968
1            2728   0.1091  2        red        0     2728   0.0000   0.1364       -1    11543       -1    17615
2            2710   0.1084  3      green        0     2710   0.0000   0.1355       -1      185       -1     6776
3            2411   0.0964  4       blue        0     2411   0.0000   0.1206       -1    17096       -1    24595
4            1689   0.0676  5     yellow        0     1689   0.0000   0.0844       -1     9861       -1    15421
5            1377   0.0551  6      brown        0     1377   0.0000   0.0688       -1    14675       -1    20708
6             802   0.0321  7       grey      798        4   0.1596   0.0002     3898        3     4261     5005
7             731   0.0292  8     violet        0      731   0.0000   0.0365       -1    16085       -1    22043
8             542   0.0217  9       cyan        0      542   0.0000   0.0271       -1      168       -1     5386
