# 1st <= 10000 < 2nd
# 1st= 10000  2nd= 40000
#Cluster    Total     Frac C#      Color NumIn1st NumIn2nd    Frac1    Frac2   First1   First2     Rep1     Rep2
0           13483   0.2697  1      black      786    12697   0.0786   0.3174     8689        1     9972    21162
1            4320   0.0864  2        red        0     4320   0.0000   0.1080       -1    18331       -1    36862
2            4008   0.0802  3      green        0     4008   0.0000   0.1002       -1    16938       -1    29131
3            2145   0.0429  4       blue        0     2145   0.0000   0.0536       -1    37613       -1    49222
4            1919   0.0384  5     yellow     1919        0   0.1919   0.0000     3489       -1     5611       -1
5            1028   0.0206  6      brown     1028        0   0.1028   0.0000      583       -1     1155       -1
